,0,1,2,3
Backfill,0.8506316327954344,0.3915314814919651,135735.2857142857,0.8599135535103934
Overall Mean,-0.0005772704523235703,1.0450696110012452,0.0,1.1108919892992293
Yearly Mean,0.015595966044400802,1.0366817263575971,52298.0,0.9373880113874163
Yearly Mean per Region,0.1442782915932827,0.9730898462655292,58352.71428571428,1.0522895540509904
Interpolate 3,0.8817194098075382,0.34165736695932347,134538.0,2.9421427249908447
Interpolate all,0.8816900176653245,0.34183469492437946,112822.0,2.1598998478480746
ICE 1,0.8564652465775875,0.3821531829360909,0.0,9.589376040867396
ICE 2,0.5607533184995982,0.6923117360715374,0.0,72.83891800471714
ICE 3,0.7555825046783922,0.5148142075532871,0.0,71.73209602492196
MICE 1,0.85542847277776,0.3851169449975488,0.0,136.03251808030265
MICE 2,0.7505472443669515,0.5200150768684582,0.0,427.0254021031516
KNN 1,0.7612092754632053,0.508476308789329,0.0,117.4323468548911
KNN 2,0.8521989542692786,0.38253472528246907,0.0,15.57994794845581
